Ano,SE,cidade,dengue
2015,6,Acrelandia,0
2015,7,Acrelandia,0
2015,8,Acrelandia,0
2015,9,Acrelandia,1
2015,10,Acrelandia,0
2015,11,Acrelandia,1
2015,12,Acrelandia,0
2015,13,Acrelandia,0
2015,14,Acrelandia,0
2015,15,Acrelandia,0
2015,16,Acrelandia,0
2015,17,Acrelandia,1
2015,18,Acrelandia,0
2015,19,Acrelandia,3
2015,20,Acrelandia,2
2015,21,Acrelandia,0
2015,22,Acrelandia,0
2015,23,Acrelandia,1
2015,24,Acrelandia,0
2015,25,Acrelandia,1
2015,26,Acrelandia,0
2000,27,Brasileia,0
2000,28,Brasileia,0
2000,29,Brasileia,0
2000,30,Brasileia,0
2000,31,Brasileia,2
2000,32,Brasileia,0
2000,33,Brasileia,1
2000,34,Brasileia,0
2000,35,Brasileia,1
2000,36,Brasileia,0
2000,37,Brasileia,0
2000,38,Brasileia,0
2000,39,Brasileia,0
2000,40,Brasileia,0
2000,41,Brasileia,0
2000,42,Brasileia,0
2000,43,Brasileia,0
2000,44,Brasileia,0
2000,45,Brasileia,0
2000,46,Brasileia,0
2000,47,Brasileia,0
2000,48,Brasileia,1
2000,49,Brasileia,0
2000,50,Brasileia,0
2000,51,Brasileia,6
2000,52,Brasileia,0
2001,1,Brasileia,0
2001,2,Brasileia,0
2001,3,Brasileia,1
2001,4,Brasileia,3
2001,5,Brasileia,5
2001,6,Brasileia,4
2001,7,Brasileia,3
2001,8,Brasileia,5
2001,9,Brasileia,0
2001,10,Brasileia,1
2001,11,Brasileia,6
2001,12,Brasileia,0
2001,13,Brasileia,3
2001,14,Brasileia,1
2001,15,Brasileia,1
2001,16,Brasileia,1
2001,17,Brasileia,1
2001,18,Brasileia,0
2001,19,Brasileia,0
2001,20,Brasileia,1
2001,21,Brasileia,0
2001,22,Brasileia,0
2001,23,Brasileia,0
2001,24,Brasileia,0
2001,25,Brasileia,1
2001,26,Brasileia,0
2001,27,Brasileia,0
2001,28,Brasileia,0
2001,29,Brasileia,0
2001,30,Brasileia,0
2001,31,Brasileia,0
2001,32,Brasileia,0
2001,33,Brasileia,0
2001,34,Brasileia,0
2001,35,Brasileia,0
2001,36,Brasileia,0
2001,37,Brasileia,0
2001,38,Brasileia,0
2001,39,Brasileia,0
2001,40,Brasileia,0
2001,41,Brasileia,0
2001,42,Brasileia,0
2001,43,Brasileia,1
2001,44,Brasileia,0
2001,45,Brasileia,0
2001,46,Brasileia,0
2001,47,Brasileia,2
2001,48,Brasileia,0
2001,49,Brasileia,0
